,away_score,away_team_away_team_gender,away_team_away_team_id,away_team_away_team_name,competition_competition_id,competition_competition_name,competition_country_name,competition_stage_id,competition_stage_name,home_score,home_team_home_team_gender,home_team_home_team_id,home_team_home_team_name,kick_off,last_updated,match_date,match_id,match_status,match_week,metadata_data_version,season_season_id,season_season_name
0,1,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,1,male,212,Atlético Madrid,20:45:00.000,2019-12-16T23:09:16.168756,2017-10-14,9642,available,8,1.0.2,1,2017/2018
1,1,male,205,Leganés,11,La Liga,Spain,1,Regular Season,3,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2018-04-07,9870,available,31,1.0.2,1,2017/2018
2,2,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,215,Athletic Bilbao,20:45:00.000,2019-12-16T23:09:16.168756,2017-10-28,9661,available,10,1.0.2,1,2017/2018
3,2,male,209,Celta Vigo,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,13:00:00.000,2019-12-16T23:09:16.168756,2017-12-02,9700,available,14,1.0.2,1,2017/2018
4,0,male,221,Levante,11,La Liga,Spain,1,Regular Season,3,male,217,Barcelona,16:15:00.000,2019-12-16T23:09:16.168756,2018-01-07,9742,available,18,1.0.2,1,2017/2018
5,3,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,205,Leganés,16:15:00.000,2019-12-16T23:09:16.168756,2017-11-18,9682,available,12,1.0.2,1,2017/2018
6,2,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,322,Eibar,16:15:00.000,2019-12-16T23:09:16.168756,2018-02-17,9799,available,24,1.0.2,1,2017/2018
7,2,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,222,Villarreal,20:45:00.000,2019-12-16T23:09:16.168756,2017-12-10,9717,available,15,1.0.2,1,2017/2018
8,1,male,213,Sevilla,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2017-11-04,9673,available,11,1.0.2,1,2017/2018
9,0,male,223,Málaga,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2017-10-21,9650,available,9,1.0.2,1,2017/2018
10,4,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,2,male,219,Deportivo La Coruna,20:45:00.000,2019-12-16T23:09:16.168756,2018-04-29,9912,available,35,1.0.2,1,2017/2018
11,1,male,211,Girona,11,La Liga,Spain,1,Regular Season,6,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2018-02-24,9811,available,25,1.0.2,1,2017/2018
12,5,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,218,Real Betis,20:45:00.000,2019-12-16T23:09:16.168756,2018-01-21,9765,available,20,1.1.0,1,2017/2018
13,3,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,220,Real Madrid,13:00:00.000,2019-12-16T23:09:16.168756,2017-12-23,9736,available,17,1.1.0,1,2017/2018
14,0,male,210,Real Sociedad,11,La Liga,Spain,1,Regular Season,1,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2018-05-20,9948,available,38,1.0.2,1,2017/2018
15,2,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,1,male,216,Getafe,16:15:00.000,2019-12-16T23:09:16.168756,2017-09-16,9602,available,4,1.0.2,1,2017/2018
16,2,male,220,Real Madrid,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2018-05-06,9924,available,36,1.0.2,1,2017/2018
17,0,male,219,Deportivo La Coruna,11,La Liga,Spain,1,Regular Season,4,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2017-12-17,9726,available,16,1.0.2,1,2017/2018
18,0,male,218,Real Betis,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,20:15:00.000,2019-12-16T23:09:16.168756,2017-08-20,9575,available,1,1.1.0,1,2017/2018
19,0,male,214,Espanyol,11,La Liga,Spain,1,Regular Season,5,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2017-09-09,9592,available,3,1.1.0,1,2017/2018
20,1,male,206,Deportivo Alavés,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,20:45:00.000,2019-12-16T23:09:16.168756,2018-01-28,9774,available,21,1.0.2,1,2017/2018
21,1,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,1,male,208,Las Palmas,21:00:00.000,2019-12-16T23:09:16.168756,2018-03-01,9827,available,26,1.0.2,1,2017/2018
22,2,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,0,male,206,Deportivo Alavés,18:15:00.000,2019-12-16T23:09:16.168756,2017-08-26,9581,available,2,1.0.2,1,2017/2018
23,2,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,2,male,209,Celta Vigo,21:00:00.000,2019-12-16T23:09:16.168756,2018-04-17,9889,available,33,1.1.0,1,2017/2018
24,1,male,207,Valencia,11,La Liga,Spain,1,Regular Season,2,male,217,Barcelona,16:15:00.000,2019-12-16T23:09:16.168756,2018-04-14,9880,available,32,1.0.2,1,2017/2018
25,4,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,2,male,210,Real Sociedad,20:45:00.000,2019-12-16T23:09:16.168756,2018-01-14,9754,available,19,1.1.0,1,2017/2018
26,1,male,222,Villarreal,11,La Liga,Spain,1,Regular Season,5,male,217,Barcelona,20:00:00.000,2019-12-16T23:09:16.168756,2018-05-09,9928,available,34,1.1.0,1,2017/2018
27,1,male,217,Barcelona,11,La Liga,Spain,1,Regular Season,1,male,207,Valencia,20:45:00.000,2019-12-16T23:09:16.168756,2017-11-26,9695,available,13,1.0.2,1,2017/2018
28,0,male,208,Las Palmas,11,La Liga,Spain,1,Regular Season,3,male,217,Barcelona,16:15:00.000,2019-12-16T23:09:16.168756,2017-10-01,9636,available,7,1.0.2,1,2017/2018
