,away_score,away_team_away_team_gender,away_team_away_team_group,away_team_away_team_id,away_team_away_team_name,away_team_country_id,away_team_country_name,away_team_managers__country_id,away_team_managers__country_name,away_team_managers__dob,away_team_managers__id,away_team_managers__name,away_team_managers__nickname,competition_competition_id,competition_competition_name,competition_country_name,competition_stage_id,competition_stage_name,home_score,home_team_country_id,home_team_country_name,home_team_home_team_gender,home_team_home_team_group,home_team_home_team_id,home_team_home_team_name,home_team_managers__country_id,home_team_managers__country_name,home_team_managers__dob,home_team_managers__id,home_team_managers__name,home_team_managers__nickname,kick_off,last_updated,match_date,match_id,match_status,match_week,metadata_data_version,metadata_shot_fidelity_version,metadata_xy_fidelity_version,referee_country_id,referee_country_name,referee_id,referee_name,season_season_id,season_season_name,stadium_country_id,stadium_country_name,stadium_id,stadium_name
0,1,male,,217,Barcelona,214.0,Spain,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,11,La Liga,Spain,1,Regular Season,1,214.0,Spain,male,,212,Atlético Madrid,11.0,Argentina,1970-04-28,230.0,Diego Pablo Simeone,,20:45:00.000,2019-12-16T23:09:16.168756,2017-10-14,9642,available,8,1.0.2,2,,214.0,Spain,180.0,Antonio Mateu,1,2017/2018,,,4654.0,Estadio Wanda Metropolitano
1,1,male,,205,Leganés,214.0,Spain,214.0,Spain,1969-12-06,84.0,Asier Garitano Aguirrezábal,Asier Garitano,11,La Liga,Spain,1,Regular Season,3,214.0,Spain,male,,217,Barcelona,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,20:45:00.000,2019-12-16T23:09:16.168756,2018-04-07,9870,available,31,1.0.2,2,,112.0,Italy,215.0,Ricardo De Burgos,1,2017/2018,214.0,Spain,342.0,Camp Nou
2,2,male,,217,Barcelona,214.0,Spain,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,11,La Liga,Spain,1,Regular Season,0,214.0,Spain,male,,215,Athletic Bilbao,214.0,Spain,1966-10-01,210.0,José Ángel Ziganda Lacunza,José Ángel Ziganda,20:45:00.000,2019-12-16T23:09:16.168756,2017-10-28,9661,available,10,1.0.2,2,,112.0,Italy,207.0,Juan Martínez,1,2017/2018,214.0,Spain,345.0,San Mamés Barria
3,2,male,,209,Celta Vigo,214.0,Spain,214.0,Spain,1967-04-22,208.0,Juan Carlos Unzué Labiano,,11,La Liga,Spain,1,Regular Season,2,214.0,Spain,male,,217,Barcelona,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,13:00:00.000,2019-12-16T23:09:16.168756,2017-12-02,9700,available,14,1.0.2,2,,112.0,Italy,209.0,Mario Melero,1,2017/2018,214.0,Spain,342.0,Camp Nou
4,0,male,,221,Levante,214.0,Spain,214.0,Spain,1968-11-02,2.0,Juan Ramón López Muñiz,Juan Muñiz,11,La Liga,Spain,1,Regular Season,3,214.0,Spain,male,,217,Barcelona,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,16:15:00.000,2019-12-16T23:09:16.168756,2018-01-07,9742,available,18,1.0.2,2,,112.0,Italy,223.0,Carlos Del Cerro,1,2017/2018,214.0,Spain,342.0,Camp Nou
5,3,male,,217,Barcelona,214.0,Spain,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,11,La Liga,Spain,1,Regular Season,0,214.0,Spain,male,,205,Leganés,214.0,Spain,1969-12-06,84.0,Asier Garitano Aguirrezábal,Asier Garitano,16:15:00.000,2019-12-16T23:09:16.168756,2017-11-18,9682,available,12,1.0.2,2,,112.0,Italy,221.0,Alberto Undiano,1,2017/2018,214.0,Spain,355.0,Estadio Municipal de Butarque
6,2,male,,217,Barcelona,214.0,Spain,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,11,La Liga,Spain,1,Regular Season,0,214.0,Spain,male,,322,Eibar,214.0,Spain,1961-03-14,221.0,José Luis Mendilibar Etxebarria,,16:15:00.000,2019-12-16T23:09:16.168756,2018-02-17,9799,available,24,1.0.2,2,,112.0,Italy,208.0,Alejandro Hernández,1,2017/2018,214.0,Spain,347.0,Estadio Municipal de Ipurúa
7,2,male,,217,Barcelona,214.0,Spain,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,11,La Liga,Spain,1,Regular Season,0,214.0,Spain,male,,222,Villarreal,214.0,Spain,1978-05-12,182.0,Javier Calleja Revilla,Javi Calleja,20:45:00.000,2019-12-16T23:09:16.168756,2017-12-10,9717,available,15,1.0.2,2,,112.0,Italy,215.0,Ricardo De Burgos,1,2017/2018,214.0,Spain,361.0,Estadio de la Cerámica
8,1,male,,213,Sevilla,214.0,Spain,11.0,Argentina,1969-11-13,385.0,Manuel Eduardo Berizzo,,11,La Liga,Spain,1,Regular Season,2,214.0,Spain,male,,217,Barcelona,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,20:45:00.000,2019-12-16T23:09:16.168756,2017-11-04,9673,available,11,1.0.2,2,,112.0,Italy,211.0,José González,1,2017/2018,214.0,Spain,342.0,Camp Nou
9,0,male,,223,Málaga,214.0,Spain,214.0,Spain,1963-03-23,505.0,José Miguel González Martín del Campo,Míchel,11,La Liga,Spain,1,Regular Season,2,214.0,Spain,male,,217,Barcelona,214.0,Spain,1964-02-09,227.0,Ernesto Valverde Tejedor,Ernesto Valverde,20:45:00.000,2019-12-16T23:09:16.168756,2017-10-21,9650,available,9,1.0.2,2,,112.0,Italy,219.0,Pablo González,1,2017/2018,214.0,Spain,342.0,Camp Nou
