 
Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Sat,2014-08-23,19:00 (22:30),Málaga,1–0,Athletic Club,24500,Estadio La Rosaleda,Antonio Matéu Lahoz,Match Report,
1,Sat,2014-08-23,21:00 (00:30),Granada,2–1,La Coruña,14800,Estadio Nuevo Los Cármenes,Iñaki Bikandi,Match Report,
1,Sat,2014-08-23,21:00 (00:30),Sevilla,1–1,Valencia,29352,Estadio Ramón Sánchez Pizjuán,Carlos del Cerro,Match Report,
1,Sat,2014-08-23,23:00 (02:30),Almería,1–1,Espanyol,12000,Estadio de los Juegos Mediterráneos,Alejandro Hernández,Match Report,
1,Sun,2014-08-24,19:00 (22:30),Eibar,1–0,Real Sociedad,5173,Estadio Municipal de Ipurúa,Alfonso Álvarez,Match Report,
1,Sun,2014-08-24,21:00 (00:30),Celta Vigo,3–1,Getafe,20416,Estadio de Balaídos,Mario Melero,Match Report,
1,Sun,2014-08-24,21:00 (00:30),Barcelona,3–0,Elche,68105,Camp Nou,Fernando Teixeira,Match Report,
1,Sun,2014-08-24,23:00 (02:30),Levante,0–2,Villarreal,19000,Estadio Ciudad de Valencia,David Fernández,Match Report,
1,Mon,2014-08-25,20:00 (23:30),Real Madrid,2–0,Córdoba,70356,Estadio Santiago Bernabéu,Jesús Gil,Match Report,
1,Mon,2014-08-25,22:00 (01:30),Rayo Vallecano,0–0,Atlético Madrid,11070,Estadio del Rayo Vallecano,Carlos Clos Gómez,Match Report,
2,Fri,2014-08-29,20:00 (23:30),Getafe,1–0,Almería,6000,Coliseum Alfonso Pérez,Santiago Jaime,Match Report,
2,Fri,2014-08-29,22:00 (01:30),Valencia,3–0,Málaga,41550,Estadio de Mestalla,Javier Estrada,Match Report,
2,Sat,2014-08-30,19:00 (22:30),Córdoba,1–1,Celta Vigo,15982,Estadio Nuevo Arcángel,José Teixeira,Match Report,
2,Sat,2014-08-30,19:00 (22:30),Athletic Club,3–0,Levante,48300,San Mamés,Pedro Pérez,Match Report,
2,Sat,2014-08-30,21:00 (00:30),Atlético Madrid,2–1,Eibar,48000,Estadio Vicente Calderón,Eduardo Prieto,Match Report,
2,Sat,2014-08-30,23:00 (02:30),Espanyol,1–2,Sevilla,16490,RCDE Stadium,Alberto Undiano,Match Report,
2,Sun,2014-08-31,19:00 (22:30),Villarreal,0–1,Barcelona,21200,Estadio de la Cerámica,Carlos Velasco,Match Report,
2,Sun,2014-08-31,21:00 (00:30),La Coruña,2–2,Rayo Vallecano,18054,Estadio Municipal de Riazor,José González,Match Report,
2,Sun,2014-08-31,21:00 (00:30),Real Sociedad,4–2,Real Madrid,27879,Estadio Municipal de Anoeta,Juan Martínez,Match Report,
2,Sun,2014-08-31,23:00 (02:30),Elche,1–1,Granada,20025,Estadio Manuel Martínez Valero,Ignacio Iglesias,Match Report,
