Wk,Day,Date,Time,Home,Score,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2015-08-21,20:30 (00:00),Málaga,0–0,Sevilla,30372,Estadio La Rosaleda,Alfonso Álvarez,Match Report,
1,Sat,2015-08-22,18:30 (22:00),Espanyol,1–0,Getafe,16248,RCDE Stadium,Jesús Gil,Match Report,
1,Sat,2015-08-22,18:30 (22:00),La Coruña,0–0,Real Sociedad,23306,Estadio Municipal de Riazor,Antonio Matéu Lahoz,Match Report,
1,Sat,2015-08-22,20:30 (00:00),Atlético Madrid,1–0,Las Palmas,45107,Estadio Vicente Calderón,Eduardo Prieto,Match Report,
1,Sat,2015-08-22,22:30 (02:00),Rayo Vallecano,0–0,Valencia,9608,Estadio del Rayo Vallecano,Alberto Undiano,Match Report,
1,Sun,2015-08-23,18:30 (22:00),Athletic Club,0–1,Barcelona,44737,San Mamés,Carlos del Cerro,Match Report,
1,Sun,2015-08-23,20:30 (00:00),Sporting Gijón,0–0,Real Madrid,28105,Estadio Municipal El Molinón,Javier Estrada,Match Report,
1,Sun,2015-08-23,22:00 (01:30),Levante,1–2,Celta Vigo,11701,Estadio Ciudad de Valencia,Ricardo de Burgos,Match Report,
1,Sun,2015-08-23,22:30 (02:00),Betis,1–1,Villarreal,38572,Estadio Benito Villamarín,Iñaki Bikandi,Match Report,
1,Mon,2015-08-24,20:30 (00:00),Granada,1–3,Eibar,14795,Estadio Nuevo Los Cármenes,Ignacio Iglesias,Match Report,
2,Fri,2015-08-28,20:30 (00:00),Villarreal,3–1,Espanyol,17650,Estadio de la Cerámica,Carlos Velasco,Match Report,
2,Sat,2015-08-29,18:30 (22:00),Real Sociedad,0–0,Sporting Gijón,22478,Estadio Municipal de Anoeta,José Sánchez,Match Report,
2,Sat,2015-08-29,20:30 (00:00),Barcelona,1–0,Málaga,80812,Camp Nou,Santiago Jaime,Match Report,
2,Sat,2015-08-29,22:00 (01:30),Celta Vigo,3–0,Rayo Vallecano,17606,Estadio de Balaídos,Juan Martínez,Match Report,
2,Sat,2015-08-29,22:30 (02:00),Real Madrid,5–0,Betis,70876,Estadio Santiago Bernabéu,Alejandro Hernández,Match Report,
2,Sun,2015-08-30,18:30 (22:00),Eibar,2–0,Athletic Club,5509,Estadio Municipal de Ipurúa,David Fernández,Match Report,
2,Sun,2015-08-30,20:30 (00:00),Sevilla,0–3,Atlético Madrid,38976,Estadio Ramón Sánchez Pizjuán,Carlos Clos Gómez,Match Report,
2,Sun,2015-08-30,20:30 (00:00),Valencia,1–1,La Coruña,42000,Estadio de Mestalla,José González,Match Report,
2,Sun,2015-08-30,21:30 (02:00),Las Palmas,0–0,Levante,19057,Estadio de Gran Canaria,Pedro Pérez,Match Report,
2,Sun,2015-08-30,22:30 (02:00),Getafe,1–2,Granada,6000,Coliseum Alfonso Pérez,Eduardo Prieto,Match Report,
3,Fri,2015-09-11,20:30 (00:00),Levante,1–1,Sevilla,16568,Estadio Ciudad de Valencia,Ignacio Iglesias,Match Report,
3,Sat,2015-09-12,16:00 (19:30),Espanyol,0–6,Real Madrid,32155,RCDE Stadium,Iñaki Bikandi,Match Report,
3,Sat,2015-09-12,18:15 (21:45),Sporting Gijón,0–1,Valencia,23206,Estadio Municipal El Molinón,Carlos del Cerro,Match Report,
3,Sat,2015-09-12,20:30 (00:00),Atlético Madrid,1–2,Barcelona,53491,Estadio Vicente Calderón,Antonio Matéu Lahoz,Match Report,
3,Sat,2015-09-12,22:00 (01:30),Betis,1–0,Real Sociedad,38768,Estadio Benito Villamarín,Alfonso Álvarez,Match Report,
3,Sun,2015-09-13,12:00 (15:30),Granada,1–3,Villarreal,13954,Estadio Nuevo Los Cármenes,Jesús Gil,Match Report,
3,Sun,2015-09-13,16:00 (19:30),Athletic Club,3–1,Getafe,39003,San Mamés,Pedro Pérez,Match Report,
3,Sun,2015-09-13,18:15 (21:45),Celta Vigo,3–3,Las Palmas,19048,Estadio de Balaídos,Javier Estrada,Match Report,
3,Sun,2015-09-13,20:30 (00:00),Málaga,0–0,Eibar,19836,Estadio La Rosaleda,Alberto Undiano,Match Report,
3,Mon,2015-09-14,20:30 (00:00),Rayo Vallecano,1–3,La Coruña,12005,Estadio del Rayo Vallecano,Ricardo de Burgos,Match Report,
