Wk,Day,Date,Time,Home,xG,Score,xG,Away,Attendance,Venue,Referee,Match Report,Notes
1,Fri,2018-08-17,20:15 (23:45),Girona,0.9,0–0,0.1,Valladolid,10368,Estadi Municipal de Montilivi,Guillermo Cuadra,Match Report,
1,Fri,2018-08-17,22:15 (01:45),Betis,1.4,0–3,1.9,Levante,46225,Estadio Benito Villamarín,Ignacio Iglesias,Match Report,
1,Sat,2018-08-18,18:15 (21:45),Celta Vigo,0.5,1–1,0.8,Espanyol,16215,Estadio de Balaídos,Santiago Jaime,Match Report,
1,Sat,2018-08-18,20:15 (23:45),Villarreal,1.0,1–2,0.6,Real Sociedad,16250,Estadio de la Cerámica,Mario Melero,Match Report,
1,Sat,2018-08-18,22:15 (01:45),Barcelona,3.1,3–0,0.3,Alavés,52356,Camp Nou,José Sánchez,Match Report,
1,Sun,2018-08-19,18:15 (21:45),Eibar,1.2,1–2,1.2,Huesca,4234,Estadio Municipal de Ipurúa,Eduardo Prieto,Match Report,
1,Sun,2018-08-19,20:15 (23:45),Rayo Vallecano,1.8,1–4,2.3,Sevilla,11626,Estadio del Rayo Vallecano,Antonio Matéu Lahoz,Match Report,
1,Sun,2018-08-19,22:15 (01:45),Real Madrid,0.8,2–0,0.3,Getafe,48446,Estadio Santiago Bernabéu,Javier Estrada,Match Report,
1,Mon,2018-08-20,20:00 (23:30),Valencia,0.9,1–1,1.1,Atlético Madrid,46174,Estadio de Mestalla,Jesús Gil,Match Report,
1,Mon,2018-08-20,22:00 (01:30),Athletic Club,1.8,2–1,1.6,Leganés,38327,Estadio San Mamés,Adrián Cordero,Match Report,
2,Fri,2018-08-24,20:15 (23:45),Getafe,1.4,2–0,0.5,Eibar,7851,Coliseum Alfonso Pérez,David Medié,Match Report,
2,Fri,2018-08-24,22:15 (01:45),Leganés,2.2,2–2,1.8,Real Sociedad,9375,Estadio Municipal de Butarque,José Luis Munuera,Match Report,
2,Sat,2018-08-25,18:15 (21:45),Alavés,0.7,0–0,1.5,Betis,18221,Estadio de Mendizorroza,Pablo González,Match Report,
2,Sat,2018-08-25,20:15 (23:45),Atlético Madrid,0.6,1–0,1.5,Rayo Vallecano,52693,Estadio Wanda Metropolitano,José González,Match Report,
2,Sat,2018-08-25,22:15 (01:45),Valladolid,0.3,0–1,0.9,Barcelona,22651,Estadio Municipal José Zorrilla,Ricardo de Burgos,Match Report,
2,Sun,2018-08-26,18:15 (21:45),Espanyol,1.6,2–0,1.3,Valencia,18714,RCDE Stadium,Carlos del Cerro,Match Report,
2,Sun,2018-08-26,22:15 (01:45),Sevilla,1.9,0–0,1.0,Villarreal,35831,Estadio Ramón Sánchez Pizjuán,Alberto Undiano,Match Report,
2,Sun,2018-08-26,22:15 (01:45),Girona,0.7,1–4,3.0,Real Madrid,13889,Estadi Municipal de Montilivi,Juan Martínez,Match Report,
2,Mon,2018-08-27,20:15 (23:45),Levante,1.9,1–2,3.1,Celta Vigo,21122,Estadio Ciudad de Valencia,Alejandro Hernández,Match Report,
2,Mon,2018-08-27,22:00 (01:30),Athletic Club,0.6,2–2,0.4,Huesca,36818,San Mamés,Alberola Rojas,Match Report,
3,Fri,2018-08-31,20:00 (23:30),Getafe,0.8,0–0,0.5,Valladolid,9817,Coliseum Alfonso Pérez,Adrián Cordero,Match Report,
3,Fri,2018-08-31,22:00 (01:30),Eibar,1.1,2–1,1.0,Real Sociedad,6144,Estadio Municipal de Ipurúa,José Sánchez,Match Report,
3,Fri,2018-08-31,22:00 (01:30),Villarreal,1.2,0–1,0.8,Girona,15740,Estadio de la Cerámica,Eduardo Prieto,Match Report,
3,Sat,2018-09-01,18:30 (22:00),Celta Vigo,0.8,2–0,0.5,Atlético Madrid,19013,Estadio de Balaídos,Antonio Matéu Lahoz,Match Report,
3,Sat,2018-09-01,20:45 (00:15),Real Madrid,2.2,4–1,1.1,Leganés,59255,Estadio Santiago Bernabéu,Santiago Jaime,Match Report,
3,Sun,2018-09-02,12:00 (15:30),Levante,1.5,2–2,3.4,Valencia,24073,Estadio Ciudad de Valencia,Javier Estrada,Match Report,
