Season,Points,Position,Manager
2020-21,79,Third Position,Ronald Koeman
2019-20,82,Runners-Up,Ernesto Valverde / Quique Setién
2018-19,87,Winners,Ernesto Valverde
2017-18,93,Winners,Ernesto Valverde
2016-17,90,Runners-Up,Luis Enrique
2015-16,91,Winners,Luis Enrique
2014-15,94,Winners,Luis Enrique
2013-14,87,Runners-Up,Gerardo Martino
2012-13,100,Winners,Tito Vilanova
2011-12,91,Runners-Up,Pep Guardiola
2010-11,96,Winners,Pep Guardiola
2009-10,99,Winners,Pep Guardiola
2008-09,87,Winners,Pep Guardiola
2007-08,67,Third Position,Frank Rijkaard
