Name,Age,Academy
Vítor Manuel Martins Baía,27,0
Gheorghe Popescu,29,0
Sergi Barjuán Esclusa,25,1
Laurent Robert Blanc,31,0
Miquel Àngel Nadal Homar,30,0
Josep Guardiola Sala,25,1
Luís Filipe Madeira Caeiro Figo,24,0
Giovanni Silva de Oliveira,24,0
Ronaldo Luís Nazário de Lima,20,0
Luis Enrique Martínez García,26,0
Hristo Stoichkov,30,0
Carles Busquets Barroso,29,1
Iván de la Peña López,20,1
Fernando Manuel Silva Couto,27,0
Abelardo Fernández Antuña,26,0
Juan Antonio Pizzi Torroja,28,0
Francesc Arnau Grabalosa,21,1
Guillermo Amor Martínez,29,1
Albert Ferrer Llopis,26,1
Emmanuel Amuneke,26,0
Roger García Junyent,20,1
Òscar García Junyent,23,1
Ángel Manuel Cuéllar Llanos,24,0
Albert Celades López,21,1
José María Bakero Escudero,33,0
Julen Lopetegi Agote,30,0
Robert Prosinečki,27,0
